Effective EPG channels: 2/89
ID matched but zero current/future programmes: 71
No matching EPG source: 16
Still empty: 87

ZERO SBSPlus.kr@SD | SBS Plus
ZERO MBN.kr@SD | MBN
MISS ABN.kr@SD | ABN TV (720p)
ZERO ArirangRadio.kr@SD | Arirang Radio (720p)
OK ArirangTV.kr@SD <= arirang:ArirangTV.kr@SD [exact-id] programmes=125 | Arirang TV (1080p)
ZERO BBSTV.kr@SD | BBS Buddhist Broadcasting (1080p)
ZERO BTNTV.kr@SD | BTN TV (1080p)
ZERO ChannelA.kr@SD | Channel A [Geo-blocked]
ZERO CJOnStyle.kr@SD | CJ OnStyle (540p)
ZERO CJOnStylePlus.kr@SD | CJ OnStyle Plus (540p)
ZERO EBS1TV.kr@SD | EBS 1 (400p) [Not 24/7]
ZERO EBS2TV.kr@SD | EBS 2 (400p) [Not 24/7]
ZERO EBSEnglish.kr@SD | EBS E (400p) [Not 24/7]
ZERO EBSKids.kr@SD | EBS kids (400p) [Not 24/7]
ZERO EBSPlus1.kr@SD | EBS+ 1 (400p)
ZERO EBSPlus2.kr@SD | EBS+ 2 (400p)
MISS FGTV.kr@SD | FGTV (720p)
MISS GCN.kr@SD | GCN24 Korean (720p)
MISS GongyoungHomeShopping.kr@SD | Gongyoung Shopping (720p)
ZERO GoodTV.kr@SD | GoodTV (1080p)
ZERO GSMyShop.kr@SD | GS My Shop (1080p)
ZERO GSShop.kr@SD | GS Shop (1080p)
MISS GugakTV.kr@SD | GugakTV 국악방송 (1080p)
MISS GugbangTV.kr@SD | Gugbang TV (1080p) [Not 24/7]
ZERO HomeShopping.kr@SD | Home & Shopping (720p)
ZERO HyundaiHomeShopping.kr@SD | Hyundai Home Shopping (720p)
ZERO HyundaiHomeShoppingPlusShop.kr@SD | Hyundai Home Shopping Plus (720p)
MISS KCTV.kr@SD | KCTV 광주 CH05 (720p) [Not 24/7]
OK KTV.kr@SD <= arirang:ArirangTV.kr@SD [fuzzy:0.93] programmes=125 | Korea TV (1080p)
ZERO KShopping.kr@SD | KShopping (1080p)
ZERO LotteHomeShopping.kr@SD | Lotte Home Shopping (720p)
